,missing_rate
founded_month,0.14044875682231656
founded_year,0.14044875682231656
founded_quarter,0.14044875682231656
months_to_first_funding,0.14032747119466343
founded_at,0.14032747119466343
city,0.04596725288053366
region,0.03565797453001819
homepage_url,0.027531837477258944
status,0.019405700424499697
funding_total_usd,0.011522134627046696
category_list,0.011522134627046696
product_crowdfunding,0.0
round_E,0.0
round_A,0.0
secondary_market,0.0
