split,spec,best_f1,best_pr_auc,best_roc_auc
random,expanded,0.7675021607605877,0.8844010494412795,0.9111961375218922
random,strict,0.6685633001422474,0.747453170886567,0.8135226179018287
temporal,expanded,0.7668346312414109,0.9432508700163686,0.825428363338998
temporal,strict,0.7867459643160578,0.8815290687565515,0.7155680206483268
