accuracy,precision,recall,f1,roc_auc,pr_auc,split,spec,model,train_rows,test_rows,threshold
0.6604002425712553,0.53125,0.6967213114754098,0.6028368794326241,0.7306008299278942,0.6111613716376337,random,strict,logistic_regression,6596,1649,0.48
0.6652516676773802,0.5314533622559653,0.8032786885245902,0.639686684073107,0.7645955284873538,0.6474741832881526,random,strict,random_forest,6596,1649,0.47
0.7174044875682232,0.5904522613065326,0.7704918032786885,0.6685633001422474,0.8135226179018287,0.747453170886567,random,strict,hist_gradient_boosting,6596,1649,0.35
0.6846573681018799,0.5652173913043478,0.639344262295082,0.6000000000000001,0.7424848924722699,0.6584739878626802,random,strict,mlp,6596,1649,0.36
0.5597331716191631,0.8459627329192546,0.5307872174590803,0.6522988505747127,0.6355919570337621,0.8430317810397377,temporal,strict,logistic_regression,6596,1649,0.51
0.6816252274105519,0.8782435129740519,0.6858924395946999,0.7702407002188184,0.7155680206483268,0.8790946370278183,temporal,strict,random_forest,6596,1649,0.47
0.695573074590661,0.8646125116713352,0.7217459080280593,0.7867459643160578,0.7141987060722607,0.8815290687565515,temporal,strict,hist_gradient_boosting,6596,1649,0.27
0.5542753183747726,0.8512820512820513,0.5175370226032736,0.6437227338826952,0.6591471491424215,0.8579531433692955,temporal,strict,mlp,6596,1649,0.26
0.7798665858095816,0.6938775510204082,0.7245901639344262,0.7089013632718524,0.8627605358241688,0.7981225769333817,random,expanded,logistic_regression,6596,1649,0.58
0.7895694360218314,0.6977443609022557,0.760655737704918,0.727843137254902,0.8601429495574244,0.8114490206766415,random,expanded,random_forest,6596,1649,0.5
0.8368708308065494,0.8117001828153565,0.7278688524590164,0.7675021607605877,0.9111961375218922,0.8844010494412795,random,expanded,hist_gradient_boosting,6596,1649,0.46
0.7828987265009096,0.6805157593123209,0.7786885245901639,0.7262996941896025,0.8650704492024173,0.8148012795438858,random,expanded,mlp,6596,1649,0.34
0.6834445118253487,0.9087003222341569,0.6593920498830865,0.7642276422764229,0.7910144853464175,0.9281304754933499,temporal,expanded,logistic_regression,6596,1649,0.58
0.5985445724681625,0.9493487698986975,0.5113016367887763,0.6646403242147924,0.7910357810629971,0.9253603048802199,temporal,expanded,random_forest,6596,1649,0.58
0.6913280776228017,0.93,0.6523772408417771,0.7668346312414109,0.825428363338998,0.9432508700163686,temporal,expanded,hist_gradient_boosting,6596,1649,0.36
0.5700424499696786,0.9442724458204335,0.475448168355417,0.6324520476931053,0.7902691352661326,0.9282949855562872,temporal,expanded,mlp,6596,1649,0.45
